,,,,Marketwise Price & Arrival Report (31-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 31 Mar, 2026","Price on 30 Mar, 2026","Price on 29 Mar, 2026","Arrival on 31 Mar, 2026","Arrival on 30 Mar, 2026","Arrival on 29 Mar, 2026"
Cereals,Maize,2400.00,1550.00,-,-,0.70,-,-
Oil Seeds,Mustard,6200.00,6200.00,-,-,0.70,-,-
Pulses,Lentil(Masur)(Whole),7000.00,9439.06,9439.06,-,160.00,160.00,-
Vegetables,Onion,-,1847.25,1886.87,1866.67,182.00,198.00,120.00
Vegetables,Potato,-,1334.83,1280.95,1476.92,178.00,252.00,130.00
Vegetables,Tomato,-,1682.86,2135.29,2200.00,35.00,34.00,20.00

